,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,1563643278,59,-54.81,-68.31,37.4,3.36
1,Saskylakh,62,RU,1563643279,69,71.97,114.09,59.2,5.99
2,Katsuura,75,JP,1563643280,88,33.93,134.5,80.6,17.22
3,Ribeira Grande,40,PT,1563643281,83,38.52,-28.7,77.0,5.82
4,Kununurra,16,AU,1563643282,77,-15.77,128.74,60.8,1.68
5,Berdychiv,50,UA,1563643284,79,49.89,28.58,65.68,4.5
6,Atherton,75,AU,1563643285,72,-17.27,145.48,64.4,8.05
7,Vuktyl,71,RU,1563643286,80,63.86,57.31,57.04,2.01
8,Ambilobe,100,MG,1563643287,71,-13.19,49.05,75.4,1.14
9,New Norfolk,0,AU,1563643288,66,-42.78,147.06,51.8,12.75
10,Hualmay,78,PE,1563643290,82,-11.1,-77.61,62.08,8.03
11,Scottsbluff,90,US,1563643077,82,41.87,-103.67,68.0,10.29
12,Avarua,24,CK,1563643292,73,-21.21,-159.78,69.8,3.36
13,Kalakamati,0,BW,1563643293,13,-20.59,27.31,60.8,4.7
14,Bilibino,84,RU,1563643294,87,68.06,166.44,37.06,1.95
15,Hermanus,99,ZA,1563643295,88,-34.42,19.24,51.01,27.58
16,Punta Arenas,75,CL,1563643297,80,-53.16,-70.91,35.6,8.05
17,Yellowknife,40,CA,1563643298,48,62.45,-114.38,68.0,5.82
18,Vaini,96,IN,1563643299,92,15.34,74.49,77.38,5.06
19,Fort Nelson,40,CA,1563643300,72,58.81,-122.69,64.4,3.36
20,Monduli,20,TZ,1563643301,77,-3.3,36.45,64.4,4.76
21,Vostok,83,RU,1563643303,89,46.45,135.83,64.6,2.62
22,San Cristobal,92,HN,1563643304,47,14.68,-86.92,84.22,11.36
23,Zhuanghe,80,CN,1563643305,66,39.7,122.97,73.0,1.99
24,Novaya Bryan,20,RU,1563643306,82,51.72,108.27,68.0,6.71
25,Takapau,63,NZ,1563643307,75,-40.02,176.35,48.99,3.0
26,Castro,90,CL,1563643308,100,-42.48,-73.76,41.0,8.05
27,Hilo,1,US,1563643228,88,19.71,-155.08,73.99,4.7
28,Santa catarina de Tepehuanes,8,MX,1563643311,39,25.34,-105.72,73.06,10.6
29,Mataura,100,NZ,1563643312,98,-46.19,168.86,46.99,1.99
30,Dalbandin,24,PK,1563643313,38,28.9,64.41,87.1,14.05
31,Buraydah,0,SA,1563643314,19,26.33,43.97,96.8,6.93
32,Faya,42,SA,1563643315,12,18.39,42.45,82.4,16.11
33,Kapaa,90,US,1563643317,74,22.08,-159.32,80.6,13.87
34,Port Elizabeth,1,US,1563643318,56,39.31,-74.98,98.01,10.29
35,Georgetown,75,GY,1563643319,83,6.8,-58.16,80.6,4.7
36,General Cepeda,5,MX,1563643320,39,25.38,-101.48,82.0,5.99
37,Tuktoyaktuk,90,CA,1563643321,93,69.44,-133.03,51.8,3.36
38,Ancud,90,CL,1563643323,100,-41.87,-73.83,41.0,8.05
39,Port Hedland,7,AU,1563643324,72,-20.31,118.58,62.6,4.7
40,Chateaudun,90,FR,1563643253,65,48.08,1.33,78.8,8.05
41,Narsaq,40,GL,1563643326,62,60.91,-46.05,59.0,6.93
42,Atuona,4,PF,1563643327,75,-9.8,-139.03,80.08,11.03
43,Esperance,75,AU,1563643328,71,-33.86,121.89,53.6,18.34
44,Barrow,83,AR,1563643329,48,-38.31,-60.23,62.26,12.62
45,Jamestown,55,AU,1563643331,91,-33.21,138.6,49.48,10.51
46,Kilindoni,1,TZ,1563643195,72,-7.91,39.67,76.84,8.1
47,Shitanjing,95,CN,1563643333,25,39.23,106.34,80.01,4.0
48,Chumikan,100,RU,1563643334,98,54.72,135.31,50.74,3.91
49,Lebu,75,ET,1563643335,77,8.96,38.73,59.0,6.93
50,Alta Floresta,20,BR,1563643336,30,-9.87,-56.08,93.2,8.05
51,Thompson,75,CA,1563643338,59,55.74,-97.86,62.6,5.82
52,Carutapera,24,BR,1563643339,67,-1.2,-46.02,82.96,6.62
53,Arraial do Cabo,40,BR,1563643340,69,-22.97,-42.02,73.4,16.11
54,Tiksi,90,RU,1563643341,79,71.64,128.87,41.38,0.4
55,The Valley,40,AI,1563643178,66,18.22,-63.06,87.01,12.75
56,Rikitea,100,PF,1563643343,54,-23.12,-134.97,66.76,7.45
57,Aksarka,55,RU,1563643345,76,66.56,67.8,63.7,2.39
58,Busselton,73,AU,1563643346,67,-33.64,115.35,59.0,27.22
59,Vardo,20,US,1563643205,70,39.62,-77.74,96.01,4.7
60,Houston,40,US,1563643204,49,29.76,-95.37,95.0,4.7
61,Breves,0,BR,1563643349,39,-1.68,-50.48,90.88,6.15
62,Manati,20,AL,1563643350,65,41.76,19.67,80.6,6.93
63,Bluff,12,AU,1563643351,84,-23.58,149.07,54.52,8.86
64,Dikson,100,RU,1563643353,84,73.51,80.55,48.22,19.37
65,Pouebo,0,NC,1563643354,80,-20.4,164.57,55.6,3.67
66,Khatanga,0,RU,1563643355,56,71.98,102.47,64.96,9.1
67,Altay,45,CN,1563643356,72,47.83,88.13,49.84,2.95
68,Marabba,40,SD,1563643357,50,12.35,32.18,89.26,11.72
69,San Carlos,55,NI,1563643325,44,11.12,-84.78,78.01,15.99
70,Saint George,20,GR,1563643360,33,39.45,22.34,86.0,11.41
71,Orihuela,0,ES,1563643361,48,38.09,-0.95,90.0,14.99
72,Zlobin,0,HR,1563643362,48,45.29,14.65,84.2,2.24
73,Butaritari,13,KI,1563643363,67,3.07,172.79,84.22,6.06
74,Cape Town,20,ZA,1563643364,70,-33.93,18.42,53.01,8.05
75,Agara,50,GE,1563643083,99,42.04,43.82,64.06,3.02
76,Sorland,43,NO,1563643366,90,67.67,12.69,54.16,10.96
77,Lyuban,58,BY,1563643368,77,52.8,28.0,65.86,3.62
78,Porto Torres,0,IT,1563643369,48,40.84,8.4,86.0,8.05
79,Bredasdorp,71,ZA,1563643370,87,-34.53,20.04,45.0,4.7
80,Kodiak,1,US,1563643371,59,39.95,-94.76,93.0,13.87
81,Albany,75,US,1563643242,59,42.65,-73.75,91.99,3.36
82,Arcata,90,US,1563643263,93,40.87,-124.08,63.0,5.82
83,Te Anau,85,NZ,1563643375,92,-45.41,167.72,43.9,7.14
84,Hirara,88,JP,1563643376,82,24.8,125.28,84.04,19.28
85,Havoysund,0,NO,1563643377,45,71.0,24.66,64.4,6.93
86,Royken,100,NO,1563643378,68,59.75,10.39,66.0,1.12
87,Upernavik,100,GL,1563643379,95,72.79,-56.15,43.9,11.97
88,Saint-Pierre,0,FR,1563643380,47,48.95,4.24,86.0,19.46
89,Namibe,14,AO,1563643382,92,-15.19,12.15,69.1,2.95
90,Garowe,99,SO,1563643383,40,8.41,48.48,85.12,17.65
91,Dawson Creek,20,CA,1563643384,77,55.76,-120.23,62.01,2.24
92,Sudbury,75,CA,1563643385,58,46.49,-80.99,87.01,12.75
93,Lokhvytsya,32,UA,1563643386,71,50.37,33.26,66.04,3.22
94,Boa Vista,40,BR,1563643387,66,2.82,-60.67,84.2,4.7
95,Kobryn,71,BY,1563643389,77,52.21,24.36,68.74,3.33
96,Yinchuan,98,CN,1563643390,25,38.48,106.21,80.01,4.0
97,Domingos Martins,75,BR,1563643391,69,-20.36,-40.66,73.4,10.29
98,Tuatapere,98,NZ,1563643392,98,-46.13,167.69,46.99,8.93
99,Beringovskiy,100,RU,1563643393,83,63.05,179.32,56.86,5.46
100,Saraland,90,US,1563643395,94,30.82,-88.07,80.01,8.05
101,Nikolskoye,20,RU,1563643396,68,59.7,30.79,68.0,6.71
102,Beruwala,100,LK,1563643397,78,6.48,79.98,83.68,24.07
103,Srednekolymsk,82,RU,1563643398,63,67.46,153.71,45.7,7.36
104,Hambantota,100,LK,1563643399,77,6.12,81.12,82.06,19.64
105,Bambous Virieux,40,MU,1563643401,83,-20.34,57.76,72.0,12.75
106,Przhevalskoye,1,RU,1563643402,86,55.51,31.85,60.64,4.97
107,Qaanaaq,99,GL,1563643403,81,77.48,-69.36,41.92,3.24
108,Tasiilaq,40,GL,1563643404,66,65.61,-37.64,51.8,4.7
109,Mahanoro,0,MG,1563643405,98,-19.9,48.8,64.06,1.81
110,Grand Gaube,40,MU,1563643407,83,-20.01,57.66,72.0,12.75
111,Chuy,67,UY,1563643270,83,-33.69,-53.46,63.7,6.93
112,Baker City,1,US,1563643114,39,44.77,-117.83,71.01,6.93
113,Hailey,5,US,1563643181,25,43.52,-114.32,71.01,5.82
114,Lagoa,0,PT,1563643411,61,37.14,-8.45,89.01,8.05
115,Saint-Philippe,1,CA,1563643412,55,45.36,-73.48,91.99,4.7
116,Umm Kaddadah,1,SD,1563643413,49,13.6,26.69,84.76,28.27
117,Canakkale,0,TR,1563643415,45,40.15,26.41,82.4,17.22
118,Ambon,20,FR,1563643416,60,47.55,-2.56,73.4,11.41
